Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"LOC106128902 - AZFa HERV15yq1 recombination region[  ]","/gene/106128902","This region is known to undergo non-allelic homologous recombination (NAHR) with a similar low-copy repeat region, the AZFa HERV15yq2 (azoospermia factor a human endogenous retr...","
                                    Chromosome: Y; Location: Yq11",,"Entrez Gene","locus","GeneID:106128902","gene","106128902",
"LOC108004538 - AZFa HERV15yq2 recombination region[  ]","/gene/108004538","This region is known to undergo non-allelic homologous recombination (NAHR) with a similar low-copy repeat region, the AZFa HERV15yq1 (azoospermia factor a human endogenous retr...","
                                    Chromosome: Y; Location: Yq11",,"Entrez Gene","locus","GeneID:108004538","gene","108004538",
"ERVFRD-2 - endogenous retrovirus group FRD member 2[  ]","/gene/388560","","
                                    Chromosome: 19; Location: 19q13.41",,"Entrez Gene","locus","GeneID:388560","gene","388560",
"ERVI-1 - endogenous retrovirus group I member 1[  ]","/gene/100131068","","
                                    Chromosome: 9",,"Entrez Gene","locus","GeneID:100131068","gene","100131068",
"ERV18-1 - endogenous retrovirus group 18 member 1[  ]","/gene/100133791","","
                                    Chromosome: 15",,"Entrez Gene","locus","GeneID:100133791","gene","100133791",
"ERVK11-1 - endogenous retrovirus group K11 member 1[  ]","/gene/100859922","","
                                    Chromosome: 1; Location: 1p13.3",,"Entrez Gene","locus","GeneID:100859922","gene","100859922",
"ERVK9-9 - endogenous retrovirus group K9, member 9[  ]","/gene/111188137","","
                                    Chromosome: 17; Location: 17p13.2",,"Entrez Gene","locus","GeneID:111188137","gene","111188137",
"ERVK9-11 - endogenous retrovirus group K9, member 11[  ]","/gene/111188141","","
                                    Chromosome: 19; Location: 19q13.2",,"Entrez Gene","locus","GeneID:111188141","gene","111188141",
"ERVK9-7 - endogenous retrovirus group K9, member 7[  ]","/gene/111188142","","
                                    Chromosome: 7; Location: 7p14.2",,"Entrez Gene","locus","GeneID:111188142","gene","111188142",
"ERVK9-4 - endogenous retrovirus group K9, member 4[  ]","/gene/111188143","","
                                    Chromosome: 5; Location: 5p13.2",,"Entrez Gene","locus","GeneID:111188143","gene","111188143",
"ERVK9-10 - endogenous retrovirus group K9, member 10[  ]","/gene/111188144","","
                                    Chromosome: 17; Location: 17q21.32",,"Entrez Gene","locus","GeneID:111188144","gene","111188144",
"ERVK9-8 - endogenous retrovirus group K9, member 8[  ]","/gene/111188145","","
                                    Chromosome: 8; Location: 8q11.23",,"Entrez Gene","locus","GeneID:111188145","gene","111188145",
"ERVK9-6 - endogenous retrovirus group K9, member 6[  ]","/gene/111188146","","
                                    Chromosome: 6; Location: 6q21",,"Entrez Gene","locus","GeneID:111188146","gene","111188146",
"ERVK9-5 - endogenous retrovirus group K9, member 5[  ]","/gene/111188147","","
                                    Chromosome: 5; Location: 5p15.33",,"Entrez Gene","locus","GeneID:111188147","gene","111188147",
"ERVK9-3 - endogenous retrovirus group K9, member 3[  ]","/gene/111188148","","
                                    Chromosome: 3; Location: 3q27.2",,"Entrez Gene","locus","GeneID:111188148","gene","111188148",
"ERVK9-2 - endogenous retrovirus group K9, member 2[  ]","/gene/111188149","","
                                    Chromosome: 2; Location: 2p24.1",,"Entrez Gene","locus","GeneID:111188149","gene","111188149",
